ORGANIZATION,PROGRAM,DESCRIPTION,YTD AMOUNT,QTD AMOUNT                                                                                                                                                                                                    
2024 HON. DAVID P. JOYCE,INTERN ALLOWANCES,OFFICE TOTALS:,13161.1,6487.77
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,884.16,520.72
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,603628.04,308578.91
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10792.55,6071.14
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,17128,13738.33
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2182.98,1597.69
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1175.86,1112.4
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4718.29,2981.18
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,630.69,465
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,641140.57,335065.37
2024 HON. JOHN JOYCE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,641140.57,335065.37
2024 HON. JOHN JOYCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12633.33,8233.33
2024 HON. JOHN JOYCE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,12633.33,8233.33
2024 HON. JOHN JOYCE,INTERN ALLOWANCES,OFFICE TOTALS:,12633.33,8233.33
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,655.71,388.95
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,552278.45,295439.58
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29282.97,14505.46
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18530.26,13304.46
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1812.07,756.04
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,29.74,29.74
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12726.24,6162.41
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2406.83,900.83
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,617722.27,331487.47
2024 HON. SYDNEY KAMLAGER-DOVE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,617722.27,331487.47
2024 HON. SYDNEY KAMLAGER-DOVE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,34226.66,15333.33
2024 HON. SYDNEY KAMLAGER-DOVE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,34226.66,15333.33
2024 HON. SYDNEY KAMLAGER-DOVE,INTERN ALLOWANCES,OFFICE TOTALS:,34226.66,15333.33
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2257.33,2222.9
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,580506.04,298246.55
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28318.52,14515.76
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15356.89,10831.35
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5377.5,3960.5
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1298.75,1273.75
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21885.77,13858.36
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2844.66,909.99
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,657845.46,345819.16
2024 HON. MARCY KAPTUR,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,657845.46,345819.16
2024 HON. MARCY KAPTUR,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17926.67,8520
2024 HON. MARCY KAPTUR,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17926.67,8520
2024 HON. MARCY KAPTUR,INTERN ALLOWANCES,OFFICE TOTALS:,17926.67,8520
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-9.52,-31.47
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,620315.01,308244.43
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15747.44,12128.94
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16666.35,13741.4
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,376.45,370.75
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4818.75,4818.75
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10722.6,3668.45
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2108.5,1002
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,670745.58,343943.25
2024 HON. THOMAS H. KEAN  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,670745.58,343943.25
2024 HON. THOMAS H. KEAN  JR.,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20574.34,10263.53
2024 HON. THOMAS H. KEAN  JR.,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20574.34,10263.53
2024 HON. THOMAS H. KEAN  JR.,INTERN ALLOWANCES,OFFICE TOTALS:,20574.34,10263.53
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,285.15,310.05
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,676018,366282.41
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17875.45,8383.21
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,11013.16,7993.93
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1410.71,1362.5
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2470,1642
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3578.71,2330.82
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,367.46,55.46
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,713018.64,388360.38
2024 HON. WILLIAM R. KEATING,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,713018.64,388360.38
2024 HON. WILLIAM R. KEATING,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20559.51,11503.01
2024 HON. WILLIAM R. KEATING,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20559.51,11503.01
2024 HON. WILLIAM R. KEATING,INTERN ALLOWANCES,OFFICE TOTALS:,20559.51,11503.01
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,73014.41,72525.96
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,541502.31,276374.76
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,35426.02,23486.54
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,23.8,17.85
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,43036.65,24549.04
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3534.91,3224.02
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,15315.15,8153.5
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13108.8,8351.8
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1804.87,883.87
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,726766.92,417567.34
2024 HON. MIKE KELLY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,726766.92,417567.34
2024 HON. MIKE KELLY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,19307.38,9599.63
2024 HON. MIKE KELLY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,19307.38,9599.63
2024 HON. MIKE KELLY,INTERN ALLOWANCES,OFFICE TOTALS:,19307.38,9599.63
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-12.76,-2.24
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,702512,349335.6
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,45202.29,21650.84
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16579.21,13056.8
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1150.8,736.8
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12958.41,5944.49
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11240.76,7212.08
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7215.82,6621.82
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,796846.53,404556.19
2024 HON. ROBIN L. KELLY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,796846.53,404556.19
2024 HON. ROBIN L. KELLY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,25367.33,13233.33
2024 HON. ROBIN L. KELLY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,25367.33,13233.33
2024 HON. ROBIN L. KELLY,INTERN ALLOWANCES,OFFICE TOTALS:,25367.33,13233.33
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,265.5,256.45
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,662957.59,352910.33
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48141.18,33624.57
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15401.66,12298.31
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1961.5,423
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3953,2457
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22853.16,13419.54
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2150,1151
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,757683.59,416540.2
2024 HON. TRENT KELLY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,757683.59,416540.2
2024 HON. TRENT KELLY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,23873.34,14193.34
2024 HON. TRENT KELLY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,23873.34,14193.34
2024 HON. TRENT KELLY,INTERN ALLOWANCES,OFFICE TOTALS:,23873.34,14193.34
2024 HON. TIMOTHY M. KENNEDY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-45.5,-45.5
2024 HON. TIMOTHY M. KENNEDY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,153894.46,153894.46
2024 HON. TIMOTHY M. KENNEDY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10042.03,10042.03
2024 HON. TIMOTHY M. KENNEDY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23627.95,23627.95
2024 HON. TIMOTHY M. KENNEDY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,703.74,703.74
2024 HON. TIMOTHY M. KENNEDY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1670.08,1670.08
2024 HON. TIMOTHY M. KENNEDY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,110,110
2024 HON. TIMOTHY M. KENNEDY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,190002.76,190002.76
2024 HON. TIMOTHY M. KENNEDY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,190002.76,190002.76
2024 HON. TIMOTHY M. KENNEDY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2601.81,2601.81
2024 HON. TIMOTHY M. KENNEDY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2601.81,2601.81
2024 HON. TIMOTHY M. KENNEDY,INTERN ALLOWANCES,OFFICE TOTALS:,2601.81,2601.81
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-255.42,-37.72
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,684639.69,347933.47
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11051.26,7393.72
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,13499.2,8368.55
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,625.56,534.36
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2733.69,1331.05
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10042.27,5019.96
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,9669.55,8868.55
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,732005.8,379411.94
2024 HON. RO KHANNA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,732005.8,379411.94
2024 HON. RO KHANNA,INTERN ALLOWANCES,PERSONNEL COMPENSATION,26270.02,12930.65
2024 HON. RO KHANNA,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,26270.02,12930.65
2024 HON. RO KHANNA,INTERN ALLOWANCES,OFFICE TOTALS:,26270.02,12930.65
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,24583.75,9773.29
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,584095.93,295041.73
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21801.9,12746.69
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22510.87,10671.81
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,181893.71,140267.63
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12877.8,8092.8
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3672.03,2069.78
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4645.67,1945.67
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,856081.66,480609.4
2024 HON. JENNIFER A. KIGGANS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,856081.66,480609.4
2024 HON. JENNIFER A. KIGGANS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24266.67,13766.67
2024 HON. JENNIFER A. KIGGANS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24266.67,13766.67
2024 HON. JENNIFER A. KIGGANS,INTERN ALLOWANCES,OFFICE TOTALS:,24266.67,13766.67
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1323.87,1056.31
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,661082.83,351975.08
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,33280.99,25623.88
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15626.78,10062.32
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,593.22,236.8
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,787.2,347.2
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7722.01,4348.21
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3122,2372
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,723538.9,396021.8
2024 HON. DANIEL T. KILDEE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,723538.9,396021.8
2024 HON. DANIEL T. KILDEE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20073.34,10473.34
2024 HON. DANIEL T. KILDEE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20073.34,10473.34
2024 HON. DANIEL T. KILDEE,INTERN ALLOWANCES,OFFICE TOTALS:,20073.34,10473.34
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,37601.04,37464.45
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,473513.6,242088.57
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24103.06,15796.01
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22663.56,15823.39
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,30535.34,30320.84
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6000,6000
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,19433.7,4265.19
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1176,588
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,615026.3,352346.45
2024 HON. KEVIN KILEY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,615026.3,352346.45
2024 HON. KEVIN KILEY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7099.99,5366.66
2024 HON. KEVIN KILEY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7099.99,5366.66
2024 HON. KEVIN KILEY,INTERN ALLOWANCES,OFFICE TOTALS:,7099.99,5366.66
2024 HON. DEREK KILMER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,660.3,413.9
2024 HON. DEREK KILMER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,707271.27,375144.03
2024 HON. DEREK KILMER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,22423.97,17068.14
2024 HON. DEREK KILMER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16485.32,11172.15
2024 HON. DEREK KILMER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,136.26,86.76
2024 HON. DEREK KILMER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2504.62,1582.32
2024 HON. DEREK KILMER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1788,894
2024 HON. DEREK KILMER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,751269.74,406361.3
2024 HON. DEREK KILMER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,751269.74,406361.3
2024 HON. DEREK KILMER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14724,7113.33
2024 HON. DEREK KILMER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14724,7113.33
2024 HON. DEREK KILMER,INTERN ALLOWANCES,OFFICE TOTALS:,14724,7113.33
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,443.82,409.84
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,753151.81,392938
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16916.49,8066.53
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18776.04,12687.73
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2181.42,2015.73
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2069.76,1584.78
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4245.49,1965.32
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3188.31,854.82
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,800973.14,420522.75
2024 HON. ANDY KIM,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,800973.14,420522.75
2024 HON. ANDY KIM,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18890.62,10012.73
2024 HON. ANDY KIM,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18890.62,10012.73
2024 HON. ANDY KIM,INTERN ALLOWANCES,OFFICE TOTALS:,18890.62,10012.73
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14605.49,190.12
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,549376.63,282391.65
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,41847.97,30547.03
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,33890.74,30552.17
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,19658.4,2500.9
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,15964.42,5955.83
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9725.4,5364
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2748,1374
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,687817.05,358875.7
2024 HON. YOUNG KIM,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,687817.05,358875.7
2024 HON. YOUNG KIM,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17509.34,9386
2024 HON. YOUNG KIM,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17509.34,9386
2024 HON. YOUNG KIM,INTERN ALLOWANCES,OFFICE TOTALS:,17509.34,9386
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,66.7,44.56
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,683257.68,356943.44
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,20051.67,13243.72
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25986.72,22698.01
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1632.11,792.09
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1895.45,1450.06
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17186.34,13608.79
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1145.81,644.81
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,751222.48,409425.48
2024 HON. RAJA KRISHNAMOORTHI,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,751222.48,409425.48
2024 HON. RAJA KRISHNAMOORTHI,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18889.99,7490
2024 HON. RAJA KRISHNAMOORTHI,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18889.99,7490
2024 HON. RAJA KRISHNAMOORTHI,INTERN ALLOWANCES,OFFICE TOTALS:,18889.99,7490
2024 HON. ANN M. KUSTER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,209.87,224.12
2024 HON. ANN M. KUSTER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,699407.84,363583.38
2024 HON. ANN M. KUSTER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26359.37,17303.34
2024 HON. ANN M. KUSTER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,13091.94,12545.43
